Stop ID,Name,Latitude,Longitude
MTA_502158,MAIN ST/78 RD,40.719693,-73.818023
MTA_502159,MAIN ST/77 RD,40.721017,-73.818701
MTA_502278,MAIN ST/76 AV,40.722331,-73.819657
MTA_502279,MAIN ST/77 RD,40.720345,-73.818638
MTA_502280,MAIN ST/78 RD,40.719032,-73.817967
MTA_502281,MAIN ST/UNION TPKE,40.717771,-73.817324
MTA_502287,MAIN ST/UNION TPKE,40.717798,-73.817358
MTA_502300,UNION TPKE/135 ST,40.715927,-73.823737
MTA_502301,UNION TPKE/141 ST,40.717047,-73.819372
MTA_502302,UNION TPKE/MAIN ST,40.717728,-73.816538
MTA_502303,UNION TPKE/147 ST,40.7181,-73.815202
MTA_502413,UNION TPKE/147 ST,40.718352,-73.815068
MTA_502414,UNION TPKE/MAIN ST,40.717662,-73.81778
MTA_502490,QUEENS BLVD/UNION TPKE,40.714421,-73.831749
MTA_503075,MAIN ST/76 AV,40.72299,-73.819716
MTA_503445,UNION TPKE/VLEIGH PL,40.717434,-73.821398
MTA_504281,METROPOLITAN AV/PARK LN SOUTH,40.707775,-73.836774
MTA_504282,METROPOLITAN AV/118 ST,40.706888,-73.834531
MTA_504300,METROPOLITAN AV/LEFFERTS BLVD,40.706296,-73.832216
MTA_504440,METROPOLITAN AV/83 AV,40.707264,-73.835318
MTA_504489,QUEENS BLVD/78 CRES,40.714733,-73.831235
MTA_504545,UNION TPKE/QUEENS BLVD,40.714618,-73.828808
MTA_504999,QUEENS BLVD/87 AV,40.706667,-73.816719
MTA_505000,QUEENS BLVD/86 AV,40.708041,-73.817664
MTA_505002,MAIN ST/84 RD,40.712863,-73.816974
MTA_505003,MAIN ST/COOLIDGE AV,40.71524,-73.816267
MTA_505006,MAIN ST/GRAND CENTRAL PKWY,40.715288,-73.816445
MTA_505007,MAIN ST/ 82 DR,40.713164,-73.817011
MTA_505008,MAIN ST/139 ST,40.711091,-73.81899
MTA_505009,QUEENS BLVD/MAIN ST,40.708698,-73.818756
MTA_505010,QUEENS BL/86 AV,40.707302,-73.817551
MTA_505032,QUEENS BL/87 AV,40.706117,-73.816743
MTA_505033,MAIN ST/MANTON ST,40.709951,-73.818898
MTA_550343,LEFFERTS BLVD/METROPOLITAN AV,40.706296,-73.831715
MTA_550344,LEFFERTS BLVD/METROPOLITAN AV,40.706047,-73.831867
MTA_550345,LEFFERTS BLVD/AUSTIN ST,40.70941,-73.829474
MTA_550346,LEFFERTS BLVD/AUSTIN ST,40.709483,-73.82967
MTA_550347,KEW GARDENS RD /82 RD,40.711515,-73.828577
MTA_550348,KEW GARDENS RD /82 AV,40.71237,-73.829151
MTA_550349,KEW GARDENS RD /80 RD,40.713641,-73.830248
MTA_550350,80 RD /AUSTIN ST,40.712369,-73.832481
MTA_550351,AUSTIN ST /82 AV,40.711157,-73.831507
MTA_550352,AUSTIN ST /MOWBRAY DR,40.709944,-73.830419
MTA_550353,LEFFERTS BLVD/83 AV,40.708529,-73.830814
MTA_550378,QUEENS BLVD/80 RD,40.713624,-73.829759
MTA_551230,PARK LN SOUTH/ABINGDON RD,40.709554,-73.834862
MTA_551231,UNION TPKE/KEW GARDENS RD,40.714036,-73.831214
MTA_551232,80 RD/PARK LN SOUTH,40.710846,-73.83485
MTA_551233,PARK LN SOUTH/ABINGDON RD,40.709723,-73.834853
MTA_551578,QUEENS BLVD/78 AV,40.715615,-73.832415
MTA_551663,QUEENS BLVD/76 AV,40.717471,-73.835903
MTA_551664,QUEENS BLVD/77 AV,40.715869,-73.833643
MTA_551666,QUEENS BLVD/UNION TPKE,40.714121,-73.830107
MTA_551667,QUEENS BLVD/82 AV,40.71269,-73.827511
MTA_551668,QUEENS BLVD/82 AV,40.712973,-73.827285
MTA_551669,QUEENS BLVD/ 83 AV,40.71184,-73.825475
MTA_551671,QUEENS BLVD/MAIN ST,40.709755,-73.819888
MTA_551691,QUEENS BLVD/HOOVER AV,40.712235,-73.825568
MTA_551692,QUEENS BLVD/76 RD,40.717428,-73.834817
MTA_552507,UNION TPKE/MAIN ST,40.717653,-73.81679
MTA_552508,UNION TPKE/MAIN ST,40.717576,-73.818372
MTA_552822,KEW GARDENS RD/MOWBRAY ST,40.710985,-73.828282
MTA_553156,LEFFERTS BLVD/CUTHBERT RD,40.708223,-73.830688
MTA_553215,UNION TPKE/GRENFELL ST,40.712296,-73.834573
MTA_904036,QUEENS BLVD/78 AV,40.714599,-73.832013
MTA_904088,QUEENS BLVD/78 AV,40.71522,-73.831911
MTA_904231,MAIN ST/UNION TPKE,40.717975,-73.817128
MTA_982159,KEW GARDENS RD /80 RD,40.71355,-73.830143
MTA_982161,UNION TPKE/KEW GARDENS RD,40.713965,-73.831373
