route_id,stop_id,stop_name,stop_lat,stop_lon,coords,hdbscan_cluster,louvain_community
MTA NYCT_Q1,MTA_500002,165 ST/HILLSIDE AV,40.709146,-73.797156,"(40.709146, -73.797156)",0,2.0
MTA NYCT_Q1,MTA_500004,HILLSIDE AV/171 ST,40.71144,-73.790887,"(40.71144, -73.790887)",0,3.0
MTA NYCT_Q1,MTA_500007,HILLSIDE AV/180 ST,40.712872,-73.782724,"(40.712872, -73.782724)",0,3.0
MTA NYCT_Q1,MTA_500008,HILLSIDE AV/182 PL,40.713574,-73.77985,"(40.713574, -73.77985)",0,3.0
MTA NYCT_Q1,MTA_500009,HILLSIDE AV/184 ST,40.714085,-73.777516,"(40.714085, -73.777516)",0,3.0
MTA NYCT_Q1,MTA_500010,HILLSIDE AV/187 ST,40.714481,-73.775904,"(40.714481, -73.775904)",0,3.0
MTA NYCT_Q1,MTA_500011,HILLSIDE AV/189 ST,40.715309,-73.772827,"(40.715309, -73.772827)",0,3.0
MTA NYCT_Q1,MTA_500012,HILLSIDE AV/191 ST,40.716032,-73.770711,"(40.716032, -73.770711)",0,3.0
MTA NYCT_Q1,MTA_500013,HILLSIDE AV/193 ST,40.716736,-73.768676,"(40.716736, -73.768676)",0,3.0
MTA NYCT_Q1,MTA_500014,HILLSIDE AV/195 PL,40.717362,-73.767011,"(40.717362, -73.767011)",0,3.0
MTA NYCT_Q1,MTA_500017,HILLSIDE AV/202 ST,40.719903,-73.762044,"(40.719903, -73.762044)",0,0.0
MTA NYCT_Q1,MTA_500018,HILLSIDE AV/FRANCIS LEWIS BLVD,40.720923,-73.759535,"(40.720923, -73.759535)",0,0.0
MTA NYCT_Q1,MTA_500019,HILLSIDE AV/207 ST,40.721724,-73.7583,"(40.721724, -73.7583)",0,0.0
MTA NYCT_Q1,MTA_500022,HILLSIDE AV/212 ST,40.724847,-73.7537,"(40.724847, -73.7537)",0,0.0
MTA NYCT_Q1,MTA_500023,HILLSIDE AV/214 ST,40.726134,-73.751315,"(40.726134, -73.751315)",0,0.0
MTA NYCT_Q1,MTA_500024,HILLSIDE AV/215 PL,40.727252,-73.748964,"(40.727252, -73.748964)",0,0.0
MTA NYCT_Q1,MTA_500025,HILLSIDE AV/218 ST,40.728342,-73.7469,"(40.728342, -73.7469)",0,0.0
MTA NYCT_Q1,MTA_500026,HILLSIDE AV/SPRINGFIELD BLVD,40.729615,-73.744606,"(40.729615, -73.744606)",0,0.0
MTA NYCT_Q1,MTA_500027,SPRINGFIELD BLVD/89 AV,40.729077,-73.744034,"(40.729077, -73.744034)",0,1.0
MTA NYCT_Q1,MTA_500028,SPRINGFIELD BLVD/90 AV,40.726543,-73.741343,"(40.726543, -73.741343)",0,1.0
MTA NYCT_Q1,MTA_500029,SPRINGFIELD BLVD/91 AV,40.725407,-73.740139,"(40.725407, -73.740139)",0,1.0
MTA NYCT_Q1,MTA_500030,SPRINGFIELD BLVD/92 AV,40.724292,-73.738949,"(40.724292, -73.738949)",0,1.0
MTA NYCT_Q1,MTA_500031,SPRINGFIELD BLVD/93 AV,40.722125,-73.736869,"(40.722125, -73.736869)",0,1.0
MTA NYCT_Q1,MTA_500032,SPRINGFIELD BLVD/94 AV,40.720907,-73.736289,"(40.720907, -73.736289)",0,1.0
MTA NYCT_Q1,MTA_500033,SPRINGFIELD BLVD/94 DR,40.719524,-73.735669,"(40.719524, -73.735669)",0,1.0
MTA NYCT_Q1,MTA_500034,SPRINGFIELD BLVD/JAMAICA AV,40.718645,-73.735376,"(40.718645, -73.735376)",0,1.0
MTA NYCT_Q1,MTA_500035,AMBOY LN/SPRINGFIELD BLVD,40.717835,-73.735627,"(40.717835, -73.735627)",0,5.0
MTA NYCT_Q1,MTA_500036,BRADDOCK AV/89 AV,40.729878,-73.74272,"(40.729878, -73.74272)",0,0.0
MTA NYCT_Q1,MTA_500037,BRADDOCK AV/221 PL,40.729285,-73.740063,"(40.729285, -73.740063)",0,0.0
MTA NYCT_Q1,MTA_500038,BRADDOCK AV/90 AV,40.728633,-73.737276,"(40.728633, -73.737276)",0,3.0
MTA NYCT_Q1,MTA_500039,BRADDOCK AV/WINCHESTER BLVD,40.728259,-73.735607,"(40.728259, -73.735607)",0,2.0
MTA NYCT_Q1,MTA_500040,BRADDOCK AV/222 ST,40.728151,-73.735124,"(40.728151, -73.735124)",0,0.0
