stop_id,hdbscan_cluster
MTA_500002,0
MTA_500004,0
MTA_500007,0
MTA_500008,0
MTA_500009,0
MTA_500010,0
MTA_500011,0
MTA_500012,0
MTA_500013,0
MTA_500014,0
MTA_500017,0
MTA_500018,0
MTA_500019,0
MTA_500022,0
MTA_500023,0
MTA_500024,0
MTA_500025,0
MTA_500026,0
MTA_500027,0
MTA_500028,0
MTA_500029,0
MTA_500030,0
MTA_500031,0
MTA_500032,0
MTA_500033,0
MTA_500034,0
MTA_500035,0
MTA_500036,0
MTA_500037,0
MTA_500038,0
MTA_500039,0
MTA_500040,0
MTA_500041,0
MTA_500042,-1
MTA_500043,-1
MTA_500044,-1
MTA_500045,-1
MTA_500048,0
MTA_500049,0
MTA_500050,0
MTA_500051,0
MTA_500052,0
MTA_500053,0
MTA_500054,0
MTA_500055,0
MTA_500056,-1
MTA_500057,-1
MTA_500058,-1
MTA_500059,-1
MTA_500061,-1
MTA_500062,0
MTA_500063,0
MTA_500064,0
MTA_500065,0
MTA_500066,0
MTA_500069,0
MTA_500070,0
MTA_500071,0
MTA_500072,0
MTA_500073,0
MTA_500074,0
MTA_500078,0
MTA_500079,0
MTA_500080,0
MTA_500081,0
MTA_500082,0
MTA_500197,0
MTA_501414,0
MTA_501419,0
MTA_502115,0
MTA_503195,0
MTA_503212,0
MTA_503272,0
MTA_503753,-1
MTA_503965,0
MTA_503978,0
MTA_503984,0
MTA_504472,0
MTA_505201,0
MTA_505233,0
MTA_505284,0
MTA_804052,0
MTA_804087,-1
MTA_500002,0
MTA_500003,0
MTA_500004,0
MTA_500008,0
MTA_500009,0
MTA_500010,0
MTA_500081,0
MTA_500082,0
MTA_500095,0
MTA_500099,0
MTA_500100,0
MTA_500101,0
MTA_500102,0
MTA_500103,0
MTA_500104,0
MTA_500105,0
MTA_500109,0
MTA_500110,0
MTA_500111,0
MTA_500112,0
MTA_500113,0
MTA_500114,0
MTA_500115,0
MTA_500116,0
MTA_500118,0
MTA_500120,0
MTA_500121,-1
MTA_500123,-1
MTA_500124,-1
MTA_500125,0
MTA_500126,0
MTA_500127,0
MTA_500128,0
MTA_500130,0
MTA_500131,0
MTA_500132,0
MTA_500133,0
MTA_500134,0
MTA_500135,0
MTA_500136,0
MTA_500137,-1
MTA_500138,-1
MTA_500139,0
MTA_500140,0
MTA_500141,0
MTA_500142,0
MTA_500143,0
MTA_500145,0
MTA_500146,0
MTA_500147,0
MTA_500197,0
MTA_501318,0
MTA_501414,0
MTA_501419,0
MTA_503195,0
MTA_503839,0
MTA_503985,-1
MTA_503986,0
MTA_505068,0
MTA_505072,0
MTA_505131,0
MTA_505233,0
MTA_505284,0
MTA_505316,-1
MTA_804052,0
MTA_904002,-1
MTA_904250,-1
MTA_500002,0
MTA_500003,0
MTA_500004,0
MTA_500008,0
MTA_500009,0
MTA_500010,0
MTA_500081,0
MTA_500082,0
MTA_500099,0
MTA_500100,0
MTA_500101,0
MTA_500145,0
MTA_500146,0
MTA_500147,0
MTA_500157,-1
MTA_500158,-1
MTA_500159,-1
MTA_500161,0
MTA_500163,0
MTA_500164,0
MTA_500165,0
MTA_500166,0
MTA_500167,0
MTA_500168,0
MTA_500169,0
MTA_500170,0
MTA_500171,0
MTA_500182,0
MTA_500183,0
MTA_500184,0
MTA_500187,0
MTA_500197,0
MTA_500209,0
MTA_500216,0
MTA_500220,0
MTA_500221,0
MTA_500222,0
MTA_500231,0
MTA_500235,0
MTA_500236,0
MTA_500237,0
MTA_500238,0
MTA_500239,0
MTA_500241,0
MTA_500242,0
MTA_500243,0
MTA_500244,0
MTA_500245,-1
MTA_500246,-1
MTA_500247,-1
MTA_501414,0
MTA_501419,0
MTA_503195,0
MTA_503676,0
MTA_503696,-1
MTA_503697,-1
MTA_503698,-1
MTA_503700,-1
MTA_503701,-1
MTA_503702,-1
MTA_503705,-1
MTA_503756,0
MTA_503757,0
MTA_503758,0
MTA_503759,0
MTA_503760,0
MTA_503761,0
MTA_503763,0
MTA_503764,0
MTA_503770,0
MTA_503771,0
MTA_503772,0
MTA_503774,-1
MTA_503779,0
MTA_503784,0
MTA_503793,-1
MTA_503802,-1
MTA_503803,-1
MTA_503804,-1
MTA_503805,-1
MTA_503806,-1
MTA_503890,0
MTA_503913,0
MTA_503996,-1
MTA_503997,-1
MTA_503998,-1
MTA_503999,-1
MTA_504009,0
MTA_504019,-1
MTA_504069,0
MTA_504441,-1
MTA_504456,0
MTA_504457,0
MTA_504459,0
MTA_504460,0
MTA_504471,0
MTA_504486,0
MTA_504538,0
MTA_504539,0
MTA_505068,0
MTA_505233,0
MTA_505284,0
MTA_550285,-1
MTA_804052,0
MTA_904251,-1
MTA_904253,-1
MTA_904254,-1
MTA_904982,-1
MTA_500340,0
MTA_500367,0
MTA_500368,0
MTA_500369,0
MTA_500370,0
MTA_500371,0
MTA_500372,0
MTA_500374,0
MTA_500375,0
MTA_500376,0
MTA_500377,0
MTA_500378,0
MTA_500380,0
MTA_500382,0
MTA_500384,0
MTA_500385,0
MTA_500386,0
MTA_500387,0
MTA_500388,0
MTA_500389,0
MTA_500390,0
MTA_500391,0
MTA_500392,0
MTA_500393,0
MTA_500394,0
MTA_500395,0
MTA_500396,0
MTA_500397,0
MTA_500398,0
MTA_500401,0
MTA_500403,0
MTA_500404,0
MTA_500406,0
MTA_500407,0
MTA_500408,0
MTA_500410,0
MTA_500411,0
MTA_500412,0
MTA_500413,0
MTA_500414,0
MTA_500415,0
MTA_500416,0
MTA_500417,0
MTA_500418,0
MTA_500419,0
MTA_500420,0
MTA_500421,0
MTA_500422,0
MTA_500424,0
MTA_500428,0
MTA_500429,0
MTA_500430,0
MTA_500431,0
MTA_500433,0
MTA_500607,0
MTA_503172,0
MTA_503568,-1
MTA_503622,0
MTA_503768,0
MTA_503791,0
MTA_503936,0
MTA_503967,0
MTA_503968,0
MTA_504008,0
MTA_504037,0
MTA_504461,0
MTA_504462,0
MTA_504470,0
MTA_504532,0
MTA_904026,-1
MTA_500340,0
MTA_500367,0
MTA_500368,0
MTA_500369,0
MTA_500370,0
MTA_500371,0
MTA_500372,0
MTA_500428,0
MTA_500429,0
MTA_500430,0
MTA_500431,0
MTA_500433,0
MTA_500451,0
MTA_500452,0
MTA_500453,0
MTA_500454,0
MTA_500507,0
MTA_500508,0
MTA_500509,0
MTA_500510,0
MTA_500511,0
MTA_500512,0
MTA_500541,0
MTA_500543,0
MTA_500544,0
MTA_500545,0
MTA_500547,0
MTA_500548,0
MTA_500549,0
MTA_500550,0
MTA_500551,0
MTA_500552,0
MTA_500553,0
MTA_500554,0
MTA_500555,0
MTA_500556,0
MTA_500557,0
MTA_500559,0
MTA_500560,0
MTA_500561,0
MTA_500562,0
MTA_500563,0
MTA_500564,0
MTA_500565,0
MTA_500566,0
MTA_500567,0
MTA_500568,0
MTA_500571,0
MTA_500572,0
MTA_500573,0
MTA_500575,0
MTA_500576,0
MTA_500578,0
MTA_500579,0
MTA_500580,0
MTA_500581,0
MTA_500582,0
MTA_500583,0
MTA_500584,0
MTA_500585,0
MTA_500586,0
MTA_500587,0
MTA_500588,0
MTA_500589,0
MTA_500590,0
MTA_500591,0
MTA_500593,0
MTA_500594,0
MTA_500607,0
MTA_503100,0
MTA_503105,-1
MTA_503110,0
MTA_503127,0
MTA_503172,0
MTA_503564,0
MTA_503622,0
MTA_503827,0
MTA_503937,0
MTA_503967,0
MTA_504008,0
MTA_504091,0
MTA_504442,0
MTA_504443,0
MTA_504462,0
MTA_504463,0
MTA_504467,0
MTA_505322,0
MTA_553021,0
MTA_804053,-1
MTA_500851,1
MTA_500852,1
MTA_500855,1
MTA_500856,1
MTA_500858,1
MTA_500859,1
MTA_500861,1
MTA_500862,1
MTA_500863,1
MTA_500864,1
MTA_500866,1
MTA_500868,1
MTA_500869,1
MTA_500871,1
MTA_500872,1
MTA_500873,1
MTA_500874,1
MTA_500875,1
MTA_500876,1
MTA_500877,1
MTA_500878,1
MTA_500879,1
MTA_500880,1
MTA_500881,1
MTA_500882,1
MTA_500883,-1
MTA_500885,-1
MTA_500887,1
MTA_500889,1
MTA_500890,1
MTA_500892,1
MTA_500893,1
MTA_500895,1
MTA_500896,1
MTA_500899,-1
MTA_500900,-1
MTA_500901,-1
MTA_500902,1
MTA_500903,1
MTA_500904,1
MTA_500905,1
MTA_500906,1
