Route ID,Stop ID,Stop Name,Latitude,Longitude
MTA%20NYCT_Q1,MTA_500002,165 ST/HILLSIDE AV,40.709146,-73.797156
MTA%20NYCT_Q1,MTA_500004,HILLSIDE AV/171 ST,40.71144,-73.790887
MTA%20NYCT_Q1,MTA_500007,HILLSIDE AV/180 ST,40.712872,-73.782724
MTA%20NYCT_Q1,MTA_500008,HILLSIDE AV/182 PL,40.713574,-73.77985
MTA%20NYCT_Q1,MTA_500009,HILLSIDE AV/184 ST,40.714085,-73.777516
MTA%20NYCT_Q1,MTA_500010,HILLSIDE AV/187 ST,40.714481,-73.775904
MTA%20NYCT_Q1,MTA_500011,HILLSIDE AV/189 ST,40.715309,-73.772827
MTA%20NYCT_Q1,MTA_500012,HILLSIDE AV/191 ST,40.716032,-73.770711
MTA%20NYCT_Q1,MTA_500013,HILLSIDE AV/193 ST,40.716736,-73.768676
MTA%20NYCT_Q1,MTA_500014,HILLSIDE AV/195 PL,40.717362,-73.767011
MTA%20NYCT_Q1,MTA_500017,HILLSIDE AV/202 ST,40.719903,-73.762044
MTA%20NYCT_Q1,MTA_500018,HILLSIDE AV/FRANCIS LEWIS BLVD,40.720923,-73.759535
MTA%20NYCT_Q1,MTA_500019,HILLSIDE AV/207 ST,40.721724,-73.7583
MTA%20NYCT_Q1,MTA_500022,HILLSIDE AV/212 ST,40.724847,-73.7537
MTA%20NYCT_Q1,MTA_500023,HILLSIDE AV/214 ST,40.726134,-73.751315
MTA%20NYCT_Q1,MTA_500024,HILLSIDE AV/215 PL,40.727252,-73.748964
MTA%20NYCT_Q1,MTA_500025,HILLSIDE AV/218 ST,40.728342,-73.7469
MTA%20NYCT_Q1,MTA_500026,HILLSIDE AV/SPRINGFIELD BLVD,40.729615,-73.744606
MTA%20NYCT_Q1,MTA_500027,SPRINGFIELD BLVD/89 AV,40.729077,-73.744034
MTA%20NYCT_Q1,MTA_500028,SPRINGFIELD BLVD/90 AV,40.726543,-73.741343
MTA%20NYCT_Q1,MTA_500029,SPRINGFIELD BLVD/91 AV,40.725407,-73.740139
