ntaname,Bus Activity Count,Stop Count,Activity-to-Stop Ratio
Mount Hebron & Cedar Grove Cemeteries,27,10,2.7
Montefiore Cemetery,5,1,5.0
Alley Pond Park,93,8,11.625
Jamaica Estates-Holliswood,1719,105,16.37142857142857
Douglaston-Little Neck,919,56,16.410714285714285
Auburndale,2578,151,17.072847682119207
Bellerose,1321,77,17.155844155844157
Pomonok-Electchester-Hillcrest,640,37,17.2972972972973
Corona,106,6,17.666666666666668
Murray Hill-Broadway Flushing,1548,87,17.79310344827586
College Point,922,49,18.816326530612244
Whitestone-Beechhurst,659,34,19.38235294117647
St. Albans,3326,171,19.450292397660817
Queensboro Hill,976,50,19.52
Queens Village,4026,203,19.832512315270936
